Accession	Dataset	Tissue	CellLine	PrimaryCell	Lab	Link	DataType	Controls
ENCFF000CUH	/experiments/ENCSR000AQT/	.	.	osteoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CUH/@@download/ENCFF000CUH.bigWig	signal	/files/ENCFF000CUQ/, /files/ENCFF000CUR/, /files/ENCFF000CUS/, /files/ENCFF000CUZ/, /files/ENCFF000CVB/, /files/ENCFF076RWI/, /files/ENCFF917GFZ/, /files/ENCFF699UTE/, /files/ENCFF535QXZ/, /files/ENCFF196FGA/, /files/ENCFF481RBK/, /files/ENCFF499ETY/, /files/ENCFF010EZQ/, /files/ENCFF199WRC/, /files/ENCFF310GMD/, /files/ENCFF261SLA/, /files/ENCFF160WLY/, /files/ENCFF978AGM/
ENCFF000AOS	/experiments/ENCSR000AQV/	.	DND-41	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AOS/@@download/ENCFF000AOS.bigWig	signal	/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/
ENCFF000CGD	/experiments/ENCSR000AQP/	.	.	astrocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CGD/@@download/ENCFF000CGD.bigWig	signal	/files/ENCFF000CFI/, /files/ENCFF000CFK/, /files/ENCFF000CFO/, /files/ENCFF000CFR/, /files/ENCFF000CFY/, /files/ENCFF855ZXU/, /files/ENCFF615VUA/, /files/ENCFF765DJW/, /files/ENCFF631QCD/, /files/ENCFF563PNW/, /files/ENCFF581QLB/, /files/ENCFF191SLR/, /files/ENCFF391KPN/, /files/ENCFF639TYV/, /files/ENCFF368JCF/, /files/ENCFF216TIF/, /files/ENCFF169WZW/, /files/ENCFF350LQZ/
ENCFF000AQM	/experiments/ENCSR000AQX/	.	DND-41	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AQM/@@download/ENCFF000AQM.bigWig	signal	/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/
ENCFF000BBX	/experiments/ENCSR000APB/	.	HeLa-S3	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BBX/@@download/ENCFF000BBX.bigWig	signal	/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/
ENCFF000BJR	/experiments/ENCSR000ALZ/	.	.	mammary epithelial cell	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BJR/@@download/ENCFF000BJR.bigWig	signal	/files/ENCFF000BGU/, /files/ENCFF000BGV/, /files/ENCFF000BGY/, /files/ENCFF000BHE/, /files/ENCFF000BHF/, /files/ENCFF997HCS/, /files/ENCFF556RIX/, /files/ENCFF152UJF/, /files/ENCFF702WJD/, /files/ENCFF749GHL/, /files/ENCFF913IHA/, /files/ENCFF788YKS/, /files/ENCFF813ZYQ/, /files/ENCFF607BMM/, /files/ENCFF417CEL/, /files/ENCFF903ATW/, /files/ENCFF801RTD/, /files/ENCFF062WDT/, /files/ENCFF115JNM/, /files/ENCFF861GBM/
ENCFF001FMB	/experiments/ENCSR000DUF/	.	HepG2	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FMB/@@download/ENCFF001FMB.bigWig	raw signal	/files/ENCFF001HNV/, /files/ENCFF001HNW/, /files/ENCFF001HOD/, /files/ENCFF610SOD/, /files/ENCFF887ZEB/, /files/ENCFF575YDI/, /files/ENCFF933EKE/
ENCFF001FMD	/experiments/ENCSR000DUF/	.	HepG2	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FMD/@@download/ENCFF001FMD.bigWig	raw signal	/files/ENCFF001HNV/, /files/ENCFF001HNW/, /files/ENCFF001HOD/, /files/ENCFF610SOD/, /files/ENCFF887ZEB/, /files/ENCFF575YDI/, /files/ENCFF933EKE/
ENCFF000BMK	/experiments/ENCSR000ANQ/	.	.	skeletal muscle myoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BMK/@@download/ENCFF000BMK.bigWig	signal	/files/ENCFF000BJZ/, /files/ENCFF000BKA/, /files/ENCFF000BKD/, /files/ENCFF000BKI/, /files/ENCFF000BKK/, /files/ENCFF009XHG/, /files/ENCFF298NLV/, /files/ENCFF791XAM/, /files/ENCFF698ZZD/, /files/ENCFF208RCO/, /files/ENCFF325AJA/, /files/ENCFF130ENW/, /files/ENCFF003XTF/, /files/ENCFF589EFJ/
ENCFF000BAZ	/experiments/ENCSR000AQN/	.	HeLa-S3	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BAZ/@@download/ENCFF000BAZ.bigWig	signal	/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/
ENCFF000BCP	/experiments/ENCSR000AOF/	.	HeLa-S3	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BCP/@@download/ENCFF000BCP.bigWig	signal	/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/
ENCFF001FXQ	/experiments/ENCSR000DWJ/	.	MCF-7	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FXQ/@@download/ENCFF001FXQ.bigWig	raw signal	/files/ENCFF001HUB/, /files/ENCFF001HUD/, /files/ENCFF001HUM/, /files/ENCFF623WZZ/, /files/ENCFF320ZWB/, /files/ENCFF322XOZ/, /files/ENCFF340AIJ/
ENCFF001FXW	/experiments/ENCSR000DWJ/	.	MCF-7	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FXW/@@download/ENCFF001FXW.bigWig	raw signal	/files/ENCFF001HUB/, /files/ENCFF001HUD/, /files/ENCFF001HUM/, /files/ENCFF623WZZ/, /files/ENCFF320ZWB/, /files/ENCFF322XOZ/, /files/ENCFF340AIJ/
ENCFF001EZH	/experiments/ENCSR000DSO/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EZH/@@download/ENCFF001EZH.bigWig	raw signal	/files/ENCFF001HIE/, /files/ENCFF001HIF/, /files/ENCFF001HIK/, /files/ENCFF722WMU/, /files/ENCFF198VJS/, /files/ENCFF866UAN/, /files/ENCFF018SKU/
ENCFF001EZI	/experiments/ENCSR000DSO/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EZI/@@download/ENCFF001EZI.bigWig	raw signal	/files/ENCFF001HIE/, /files/ENCFF001HIF/, /files/ENCFF001HIK/, /files/ENCFF722WMU/, /files/ENCFF198VJS/, /files/ENCFF866UAN/, /files/ENCFF018SKU/
ENCFF000AMZ	/experiments/ENCSR000AUY/	.	.	B cell	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AMZ/@@download/ENCFF000AMZ.bigWig	signal	/files/ENCFF000AMC/, /files/ENCFF000AMM/, /files/ENCFF128SFZ/, /files/ENCFF849QON/, /files/ENCFF825GGQ/, /files/ENCFF248YTS/
ENCFF000AKM	/experiments/ENCSR000AUI/	.	A549	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AKM/@@download/ENCFF000AKM.bigWig	signal	/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/
ENCFF001ENU	/experiments/ENCSR000DPO/	.	AG04450	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ENU/@@download/ENCFF001ENU.bigWig	raw signal	/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/
ENCFF001ENW	/experiments/ENCSR000DPO/	.	AG04450	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ENW/@@download/ENCFF001ENW.bigWig	raw signal	/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/
ENCFF001ERP	/experiments/ENCSR000DQH/	.	BJ	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ERP/@@download/ENCFF001ERP.bigWig	raw signal	/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/
ENCFF001ERQ	/experiments/ENCSR000DQH/	.	BJ	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ERQ/@@download/ENCFF001ERQ.bigWig	raw signal	/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/
ENCFF001ESW	/experiments/ENCSR000DQM/	.	Caco-2	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ESW/@@download/ENCFF001ESW.bigWig	raw signal	/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/
ENCFF001ESX	/experiments/ENCSR000DQM/	.	Caco-2	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ESX/@@download/ENCFF001ESX.bigWig	raw signal	/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/
ENCFF000BOX	/experiments/ENCSR000ANW/	.	.	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BOX/@@download/ENCFF000BOX.bigWig	signal	/files/ENCFF000BNE/, /files/ENCFF000BNF/, /files/ENCFF000BNH/, /files/ENCFF000BNO/, /files/ENCFF000BNR/, /files/ENCFF384SVU/, /files/ENCFF742NGM/, /files/ENCFF408COK/, /files/ENCFF882RJG/, /files/ENCFF115XVH/, /files/ENCFF712QEE/, /files/ENCFF900ZEG/, /files/ENCFF695JTM/, /files/ENCFF559IIB/, /files/ENCFF180ALL/, /files/ENCFF341IUA/, /files/ENCFF873IRA/, /files/ENCFF512CVC/
ENCFF000BSC	/experiments/ENCSR000AKK/	.	.	endothelial cell of umbilical vein	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BSC/@@download/ENCFF000BSC.bigWig	signal	/files/ENCFF000BQJ/, /files/ENCFF000BQK/, /files/ENCFF000BQM/, /files/ENCFF000BQP/, /files/ENCFF000BQS/, /files/ENCFF000BQV/, /files/ENCFF000BQW/, /files/ENCFF780ZFP/, /files/ENCFF261CBZ/, /files/ENCFF771PFZ/, /files/ENCFF039WIG/, /files/ENCFF636OYP/, /files/ENCFF496RFB/, /files/ENCFF907AUP/
ENCFF000VHB	/experiments/ENCSR000EWZ/	.	NT2/D1	.	Peggy Farnham, USC	https://www.encodeproject.org/files/ENCFF000VHB/@@download/ENCFF000VHB.bigWig	signal	/files/ENCFF000VII/, /files/ENCFF000VIJ/, /files/ENCFF000VJV/, /files/ENCFF000ZMW/, /files/ENCFF000ZMZ/, /files/ENCFF000ZNE/, /files/ENCFF585ORN/, /files/ENCFF513RSP/, /files/ENCFF205KMO/, /files/ENCFF293DEQ/
ENCFF001EUW	/experiments/ENCSR000DQV/	.	GM06990	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EUW/@@download/ENCFF001EUW.bigWig	raw signal	/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/
ENCFF001EUY	/experiments/ENCSR000DQV/	.	GM06990	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EUY/@@download/ENCFF001EUY.bigWig	raw signal	/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/
ENCFF000APU	/experiments/ENCSR000ARZ/	.	DND-41	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000APU/@@download/ENCFF000APU.bigWig	signal	/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/
ENCFF000BER	/experiments/ENCSR000APV/	.	HepG2	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BER/@@download/ENCFF000BER.bigWig	signal	/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/
ENCFF000AKX	/experiments/ENCSR000AUK/	.	A549	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AKX/@@download/ENCFF000AKX.bigWig	signal	/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/
ENCFF001FQL	/experiments/ENCSR000DVE/	.	.	kidney epithelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FQL/@@download/ENCFF001FQL.bigWig	raw signal	/files/ENCFF001HRJ/, /files/ENCFF001HRK/, /files/ENCFF001HRU/, /files/ENCFF047NAO/, /files/ENCFF115YWW/, /files/ENCFF735TUW/, /files/ENCFF213ZXO/
ENCFF001FQM	/experiments/ENCSR000DVE/	.	.	kidney epithelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FQM/@@download/ENCFF001FQM.bigWig	raw signal	/files/ENCFF001HRJ/, /files/ENCFF001HRK/, /files/ENCFF001HRU/, /files/ENCFF047NAO/, /files/ENCFF115YWW/, /files/ENCFF735TUW/, /files/ENCFF213ZXO/
ENCFF001FTB	/experiments/ENCSR000DVS/	.	.	fibroblast of villous mesenchyme	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FTB/@@download/ENCFF001FTB.bigWig	raw signal	/files/ENCFF001HSY/, /files/ENCFF001HSZ/, /files/ENCFF001HTK/, /files/ENCFF280SOV/, /files/ENCFF629FKE/, /files/ENCFF947POT/, /files/ENCFF807YUN/
ENCFF001FTD	/experiments/ENCSR000DVS/	.	.	fibroblast of villous mesenchyme	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FTD/@@download/ENCFF001FTD.bigWig	raw signal	/files/ENCFF001HSY/, /files/ENCFF001HSZ/, /files/ENCFF001HTK/, /files/ENCFF280SOV/, /files/ENCFF629FKE/, /files/ENCFF947POT/, /files/ENCFF807YUN/
ENCFF001GED	/experiments/ENCSR000DXL/	.	SK-N-MC	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GED/@@download/ENCFF001GED.bigWig	raw signal	/files/ENCFF001HXE/, /files/ENCFF001HXG/, /files/ENCFF001HXQ/, /files/ENCFF713HLH/, /files/ENCFF854RRT/, /files/ENCFF194QOM/, /files/ENCFF003YND/
ENCFF001GEE	/experiments/ENCSR000DXL/	.	SK-N-MC	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GEE/@@download/ENCFF001GEE.bigWig	raw signal	/files/ENCFF001HXE/, /files/ENCFF001HXG/, /files/ENCFF001HXQ/, /files/ENCFF713HLH/, /files/ENCFF854RRT/, /files/ENCFF194QOM/, /files/ENCFF003YND/
ENCFF000CRL	/experiments/ENCSR000AMR/	.	.	fibroblast of lung	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CRL/@@download/ENCFF000CRL.bigWig	signal	/files/ENCFF000CQE/, /files/ENCFF000CQF/, /files/ENCFF000CQH/, /files/ENCFF000CQO/, /files/ENCFF000CQP/, /files/ENCFF554LJZ/, /files/ENCFF681UKF/, /files/ENCFF386PAD/, /files/ENCFF007RSP/, /files/ENCFF923PUU/, /files/ENCFF208SHP/, /files/ENCFF552KRT/, /files/ENCFF250VFW/, /files/ENCFF579ZCP/
ENCFF000CLX	/experiments/ENCSR000ALS/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CLX/@@download/ENCFF000CLX.bigWig	signal	
ENCFF000BUC	/experiments/ENCSR000ALE/	.	.	endothelial cell of umbilical vein	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BUC/@@download/ENCFF000BUC.bigWig	signal	/files/ENCFF000BQJ/, /files/ENCFF000BQK/, /files/ENCFF000BQM/, /files/ENCFF000BQP/, /files/ENCFF000BQS/, /files/ENCFF000BQV/, /files/ENCFF000BQW/, /files/ENCFF780ZFP/, /files/ENCFF261CBZ/, /files/ENCFF771PFZ/, /files/ENCFF039WIG/, /files/ENCFF636OYP/, /files/ENCFF496RFB/, /files/ENCFF907AUP/
ENCFF000CNM	/experiments/ENCSR000ALL/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CNM/@@download/ENCFF000CNM.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000CPO	/experiments/ENCSR000ALQ/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CPO/@@download/ENCFF000CPO.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000CML	/experiments/ENCSR000ARK/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CML/@@download/ENCFF000CML.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000CMW	/experiments/ENCSR000ARN/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CMW/@@download/ENCFF000CMW.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000CME	/experiments/ENCSR000ALJ/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CME/@@download/ENCFF000CME.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000COK	/experiments/ENCSR000ALN/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000COK/@@download/ENCFF000COK.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000CPG	/experiments/ENCSR000ALP/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CPG/@@download/ENCFF000CPG.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000CNU	/experiments/ENCSR000ALM/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CNU/@@download/ENCFF000CNU.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000CPW	/experiments/ENCSR000ALR/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CPW/@@download/ENCFF000CPW.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000COC	/experiments/ENCSR000ALI/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000COC/@@download/ENCFF000COC.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000CMQ	/experiments/ENCSR000ARL/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CMQ/@@download/ENCFF000CMQ.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000COY	/experiments/ENCSR000ARM/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000COY/@@download/ENCFF000COY.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000COS	/experiments/ENCSR000ALO/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000COS/@@download/ENCFF000COS.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
